studyName,observationUnitName,germplasmName,observationVariableName,value,plotNumber
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13652_2029,NW13652,Grain yield - kg/ha|CO_321:0001218,3847,2029
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13652_2029,NW13652,Plant height - cm|CO_321:0001301,92,2029
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13669_2030,NW13669,Grain yield - kg/ha|CO_321:0001218,4250,2030
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13669_2030,NW13669,Plant height - cm|CO_321:0001301,84,2030
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_66_2031,14_66,Grain yield - kg/ha|CO_321:0001218,3887,2031
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_66_2031,14_66,Plant height - cm|CO_321:0001301,80,2031
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_2_2032,14_2,Grain yield - kg/ha|CO_321:0001218,4459,2032
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_2_2032,14_2,Plant height - cm|CO_321:0001301,82,2032
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_65_2033,14_65,Grain yield - kg/ha|CO_321:0001218,4708,2033
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_65_2033,14_65,Plant height - cm|CO_321:0001301,92,2033
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_83_2034,14_83,Grain yield - kg/ha|CO_321:0001218,4365,2034
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_83_2034,14_83,Plant height - cm|CO_321:0001301,88,2034
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_10_2035,14_10,Grain yield - kg/ha|CO_321:0001218,4654,2035
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_10_2035,14_10,Plant height - cm|CO_321:0001301,82,2035
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_71_2036,14_71,Grain yield - kg/ha|CO_321:0001218,5165,2036
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_71_2036,14_71,Plant height - cm|CO_321:0001301,80,2036
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_31_2037,14_31,Grain yield - kg/ha|CO_321:0001218,5071,2037
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_31_2037,14_31,Plant height - cm|CO_321:0001301,82,2037
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_23_2038,14_23,Grain yield - kg/ha|CO_321:0001218,4096,2038
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_23_2038,14_23,Plant height - cm|CO_321:0001301,80,2038
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_22_2039,14_22,Grain yield - kg/ha|CO_321:0001218,4277,2039
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_22_2039,14_22,Plant height - cm|CO_321:0001301,82,2039
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_88_2040,14_88,Grain yield - kg/ha|CO_321:0001218,4432,2040
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_14_88_2040,14_88,Plant height - cm|CO_321:0001301,82,2040
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_266_2041,HW_266,Grain yield - kg/ha|CO_321:0001218,3820,2041
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_266_2041,HW_266,Plant height - cm|CO_321:0001301,78,2041
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_240_2042,HW_240,Grain yield - kg/ha|CO_321:0001218,3880,2042
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_240_2042,HW_240,Plant height - cm|CO_321:0001301,86,2042
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_246_2043,HW_246,Grain yield - kg/ha|CO_321:0001218,3336,2043
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_246_2043,HW_246,Plant height - cm|CO_321:0001301,86,2043
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_261_2044,HW_261,Grain yield - kg/ha|CO_321:0001218,4385,2044
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_261_2044,HW_261,Plant height - cm|CO_321:0001301,80,2044
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_29_2045,HW_29,Grain yield - kg/ha|CO_321:0001218,2784,2045
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_29_2045,HW_29,Plant height - cm|CO_321:0001301,84,2045
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_44_2046,HW_44,Grain yield - kg/ha|CO_321:0001218,4607,2046
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_44_2046,HW_44,Plant height - cm|CO_321:0001301,80,2046
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_98_2047,HW_98,Grain yield - kg/ha|CO_321:0001218,3632,2047
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_98_2047,HW_98,Plant height - cm|CO_321:0001301,78,2047
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_83_2048,HW_83,Grain yield - kg/ha|CO_321:0001218,2186,2048
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_83_2048,HW_83,Plant height - cm|CO_321:0001301,84,2048
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_155_2049,HW_155,Grain yield - kg/ha|CO_321:0001218,3235,2049
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_155_2049,HW_155,Plant height - cm|CO_321:0001301,88,2049
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_133_2050,HW_133,Grain yield - kg/ha|CO_321:0001218,3618,2050
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_133_2050,HW_133,Plant height - cm|CO_321:0001301,76,2050
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_175_2051,HW_175,Grain yield - kg/ha|CO_321:0001218,3544,2051
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_175_2051,HW_175,Plant height - cm|CO_321:0001301,80,2051
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_37_2052,HW_37,Grain yield - kg/ha|CO_321:0001218,3625,2052
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_37_2052,HW_37,Plant height - cm|CO_321:0001301,74,2052
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_124_2053,HW_124,Grain yield - kg/ha|CO_321:0001218,4129,2053
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_124_2053,HW_124,Plant height - cm|CO_321:0001301,84,2053
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_256_2054,HW_256,Grain yield - kg/ha|CO_321:0001218,3591,2054
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_256_2054,HW_256,Plant height - cm|CO_321:0001301,80,2054
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_132_2055,HW_132,Grain yield - kg/ha|CO_321:0001218,3188,2055
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_132_2055,HW_132,Plant height - cm|CO_321:0001301,92,2055
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_141_2056,HW_141,Grain yield - kg/ha|CO_321:0001218,3403,2056
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_141_2056,HW_141,Plant height - cm|CO_321:0001301,78,2056
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_174_2057,HW_174,Grain yield - kg/ha|CO_321:0001218,4264,2057
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_174_2057,HW_174,Plant height - cm|CO_321:0001301,86,2057
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_267_2058,HW_267,Grain yield - kg/ha|CO_321:0001218,3847,2058
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_267_2058,HW_267,Plant height - cm|CO_321:0001301,88,2058
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_237_2059,HW_237,Grain yield - kg/ha|CO_321:0001218,4149,2059
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_237_2059,HW_237,Plant height - cm|CO_321:0001301,76,2059
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_182_2060,HW_182,Grain yield - kg/ha|CO_321:0001218,3968,2060
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_HW_182_2060,HW_182,Plant height - cm|CO_321:0001301,76,2060
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13638_2061,NE13638,Grain yield - kg/ha|CO_321:0001218,3692,2061
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13638_2061,NE13638,Plant height - cm|CO_321:0001301,84,2061
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13441_2062,NE13441,Grain yield - kg/ha|CO_321:0001218,4143,2062
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13441_2062,NE13441,Plant height - cm|CO_321:0001301,90,2062
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13559_2063,NW13559,Grain yield - kg/ha|CO_321:0001218,4365,2063
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13559_2063,NW13559,Plant height - cm|CO_321:0001301,80,2063
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13596_2064,NW13596,Grain yield - kg/ha|CO_321:0001218,3652,2064
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13596_2064,NW13596,Plant height - cm|CO_321:0001301,90,2064
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1248_2065,CO11D1248,Grain yield - kg/ha|CO_321:0001218,4586,2065
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1248_2065,CO11D1248,Plant height - cm|CO_321:0001301,92,2065
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1268_2066,CO11D1268,Grain yield - kg/ha|CO_321:0001218,5050,2066
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1268_2066,CO11D1268,Plant height - cm|CO_321:0001301,82,2066
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1240_2067,CO11D1240,Grain yield - kg/ha|CO_321:0001218,4196,2067
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1240_2067,CO11D1240,Plant height - cm|CO_321:0001301,72,2067
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1236_2068,CO11D1236,Grain yield - kg/ha|CO_321:0001218,5030,2068
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1236_2068,CO11D1236,Plant height - cm|CO_321:0001301,84,2068
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13510_2069,NE13510,Grain yield - kg/ha|CO_321:0001218,3941,2069
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13510_2069,NE13510,Plant height - cm|CO_321:0001301,80,2069
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13470_2070,NE13470,Grain yield - kg/ha|CO_321:0001218,4667,2070
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13470_2070,NE13470,Plant height - cm|CO_321:0001301,74,2070
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN35_2071,GOODSYN35,Grain yield - kg/ha|CO_321:0001218,2966,2071
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN35_2071,GOODSYN35,Plant height - cm|CO_321:0001301,96,2071
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN37_2072,GOODSYN37,Grain yield - kg/ha|CO_321:0001218,1365,2072
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN37_2072,GOODSYN37,Plant height - cm|CO_321:0001301,94,2072
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NH13693_2073,NH13693,Grain yield - kg/ha|CO_321:0001218,3369,2073
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NH13693_2073,NH13693,Plant height - cm|CO_321:0001301,90,2073
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NH13692_2074,NH13692,Grain yield - kg/ha|CO_321:0001218,4506,2074
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NH13692_2074,NH13692,Plant height - cm|CO_321:0001301,98,2074
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1302W_2075,CO11D1302W,Grain yield - kg/ha|CO_321:0001218,3759,2075
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1302W_2075,CO11D1302W,Plant height - cm|CO_321:0001301,84,2075
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1287_2076,CO11D1287,Grain yield - kg/ha|CO_321:0001218,3389,2076
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1287_2076,CO11D1287,Plant height - cm|CO_321:0001301,78,2076
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1298_2077,CO11D1298,Grain yield - kg/ha|CO_321:0001218,2798,2077
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1298_2077,CO11D1298,Plant height - cm|CO_321:0001301,84,2077
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1312_2078,CO11D1312,Grain yield - kg/ha|CO_321:0001218,4566,2078
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1312_2078,CO11D1312,Plant height - cm|CO_321:0001301,82,2078
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13536_2079,NW13536,Grain yield - kg/ha|CO_321:0001218,4089,2079
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13536_2079,NW13536,Plant height - cm|CO_321:0001301,70,2079
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13666_2080,NW13666,Grain yield - kg/ha|CO_321:0001218,3847,2080
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NW13666_2080,NW13666,Plant height - cm|CO_321:0001301,60,2080
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN62_2081,GOODSYN62,Grain yield - kg/ha|CO_321:0001218,1957,2081
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN62_2081,GOODSYN62,Plant height - cm|CO_321:0001301,88,2081
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN61_2082,GOODSYN61,Grain yield - kg/ha|CO_321:0001218,1607,2082
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_GOODSYN61_2082,GOODSYN61,Plant height - cm|CO_321:0001301,80,2082
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_15_18_2083,15_18,Grain yield - kg/ha|CO_321:0001218,3470,2083
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_15_18_2083,15_18,Plant height - cm|CO_321:0001301,82,2083
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_15_44_2084,15_44,Grain yield - kg/ha|CO_321:0001218,2892,2084
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_15_44_2084,15_44,Plant height - cm|CO_321:0001301,80,2084
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1182_2085,CO11D1182,Grain yield - kg/ha|CO_321:0001218,3948,2085
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1182_2085,CO11D1182,Plant height - cm|CO_321:0001301,82,2085
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1186_2086,CO11D1186,Grain yield - kg/ha|CO_321:0001218,3578,2086
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1186_2086,CO11D1186,Plant height - cm|CO_321:0001301,82,2086
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1174_2087,CO11D1174,Grain yield - kg/ha|CO_321:0001218,3262,2087
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1174_2087,CO11D1174,Plant height - cm|CO_321:0001301,82,2087
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1190_2088,CO11D1190,Grain yield - kg/ha|CO_321:0001218,4136,2088
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1190_2088,CO11D1190,Plant height - cm|CO_321:0001301,84,2088
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13407_2089,NE13407,Grain yield - kg/ha|CO_321:0001218,3208,2089
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13407_2089,NE13407,Plant height - cm|CO_321:0001301,72,2089
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13417_2090,NE13417,Grain yield - kg/ha|CO_321:0001218,2932,2090
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_NE13417_2090,NE13417,Plant height - cm|CO_321:0001301,80,2090
YldQtl-Val_2014_ClayCenter,YldQtl-Val_2014_ClayCenter_CO11D1159_2091,CO11D1159,Grain yield - kg/ha|CO_321:0001218,3551,2091
